PROGRAMA,SEMESTRE,NOMBRE MODULO
ARQUITECTURA,6,TALLER VI PATRIMONIO
ARQUITECTURA,7,TALLER VII EQUIPAMENTO DE ALTO IMPACTO
ARQUITECTURA,8,TALLER VIII PROYECTO URBANO
ARQUITECTURA,1,TECNICAS DE COMUNICACION
ARQUITECTURA,9,TRABAJO DE GRADO I
ARQUITECTURA,10,TRABAJO DE GRADO II
DISENO VISUAL,7,ANTROPOLOGIA
DISENO VISUAL,2,APRECIACION DEL ARTE
DISENO VISUAL,1,BOCETACION MANUAL
DISENO VISUAL,6,CALIDAD
DISENO VISUAL,2,COMUNICACION VISUAL 1
DISENO VISUAL,4,COMUNICACION VISUAL 2
DISENO VISUAL,5,COMUNICACION VISUAL 3
DISENO VISUAL,6,COMUNICACION VISUAL 4
DISENO VISUAL,8,CONTEXTOS CULTURALES
DISENO VISUAL,3,CREACION DE PIEZAS
DISENO VISUAL,4,DISENO APLICADO (DIAGRAMACION)
DISENO VISUAL,5,DISENO APLICADO (EMPAQUE)
DISENO VISUAL,3,DISENO APLICADO (MARCA)
DISENO VISUAL,4,DISENO APLICADO (MEDIOS IMPRESOS)
DISENO VISUAL,6,DISENO APLICADO (NUEVAS APLICACIONES)
DISENO VISUAL,5,DISENO DE INFORMACION
DISENO VISUAL,6,DISENO EDITORIAL
DISENO VISUAL,6,DISENO INTERACTIVO
DISENO VISUAL,5,ELECTIVA  I
DISENO VISUAL,6,ELECTIVA II
DISENO VISUAL,7,ELECTIVA III
DISENO VISUAL,7,ELECTIVA IV
DISENO VISUAL,8,ELECTIVA V
DISENO VISUAL,2,ENGLISH I
DISENO VISUAL,9,ETICA
DISENO VISUAL,1,EXPRESION VISUAL 1
DISENO VISUAL,2,EXPRESION VISUAL 2
DISENO VISUAL,3,EXPRESION VISUAL 3
DISENO VISUAL,7,FORMACION CIUDADANA
DISENO VISUAL,1,FORMACION DEL SER
DISENO VISUAL,2,FOTOGRAFIA
DISENO VISUAL,2,FOTOGRAFIA 1
DISENO VISUAL,3,FOTOGRAFIA 2
DISENO VISUAL,3,FOTOGRAFIA PARA EL DISENO
