PROGRAMA,SEMESTRE,NOMBRE MODULO
TECNOLOGIA EN GESTION EMPRESARIAL,4,GESTION DE VENTAS
TECNOLOGIA EN GESTION EMPRESARIAL,6,GESTION DEL TALENTO HUMANO
TECNOLOGIA EN GESTION EMPRESARIAL,5,GESTION FINANCIERA
TECNOLOGIA EN GESTION EMPRESARIAL,2,INFORMATICA APLICADA
TECNOLOGIA EN GESTION EMPRESARIAL,1,INFORMATICA BASICA
TECNOLOGIA EN GESTION EMPRESARIAL,1,INGLES I
TECNOLOGIA EN GESTION EMPRESARIAL,3,INGLES II
TECNOLOGIA EN GESTION EMPRESARIAL,4,INGLES III
TECNOLOGIA EN GESTION EMPRESARIAL,2,INGLES IV
TECNOLOGIA EN GESTION EMPRESARIAL,3,INVESTIGACION DE MERCADOS
TECNOLOGIA EN GESTION EMPRESARIAL,3,LEGISLACION COMERCIAL
TECNOLOGIA EN GESTION EMPRESARIAL,3,LEGISLACION EMPRESARIAL
TECNOLOGIA EN GESTION EMPRESARIAL,5,LEGISLACION LABORAL
TECNOLOGIA EN GESTION EMPRESARIAL,6,LEGISLACION TRIBUTARIA
TECNOLOGIA EN GESTION EMPRESARIAL,2,MACROECONOMIA
TECNOLOGIA EN GESTION EMPRESARIAL,4,MARKETING MIX
TECNOLOGIA EN GESTION EMPRESARIAL,4,MATEMATICA FINANCIERA
TECNOLOGIA EN GESTION EMPRESARIAL,1,MATEMATICAS BASICAS
TECNOLOGIA EN GESTION EMPRESARIAL,3,MERCADEO ELECTRONICO
TECNOLOGIA EN GESTION EMPRESARIAL,5,MERCADEO ESTRATEGICO
TECNOLOGIA EN GESTION EMPRESARIAL,4,METODOLOGIA DE LA INVESTIGACION
TECNOLOGIA EN GESTION EMPRESARIAL,1,MICROECONOMIA
TECNOLOGIA EN GESTION EMPRESARIAL,1,PENSAMIENTO ADMINISTRATIVO
TECNOLOGIA EN GESTION EMPRESARIAL,6,PLAN DE MARKETING
TECNOLOGIA EN GESTION EMPRESARIAL,6,PLAN DE NEGOCIOS
TECNOLOGIA EN GESTION EMPRESARIAL,4,PLANEACION Y ORGANIZACION
TECNOLOGIA EN GESTION EMPRESARIAL,2,PROCESO ADMINISTRATIVO
TECNOLOGIA EN GESTION EMPRESARIAL,3,PROMOCION Y PLAZA
TECNOLOGIA EN GESTION EMPRESARIAL,3,SEGMENTACION DE MERCADOS
TECNOLOGIA EN GESTION EMPRESARIAL,1,TECNICAS DE COMUNICACION
TECNOLOGIA EN GESTION EMPRESARIAL,5,TRABAJO DE GRADO I
TECNOLOGIA EN GESTION EMPRESARIAL,6,TRABAJO DE GRADO II
ADMINISTRACION DE EMPRESAS,9,GERENCIA DE LA CALIDAD
ADMINISTRACION DE EMPRESAS,9,GERENCIA DE MARKETING
ADMINISTRACION DE EMPRESAS,9,GERENCIA DE PRODUCCION
ADMINISTRACION DE EMPRESAS,8,GERENCIA DE PROYECTOS
ADMINISTRACION DE EMPRESAS,9,GERENCIA DEL SERVICIO
ADMINISTRACION DE EMPRESAS,8,GERENCIA DEL TALENTO HUMANO
ADMINISTRACION DE EMPRESAS,8,GERENCIA ESTRATEGICA
ADMINISTRACION DE EMPRESAS,8,GERENCIA FINANCIERA
ADMINISTRACION DE EMPRESAS,9,GESTION AMBIENTAL
TECNOLOGIA EN GESTION FINANCIERA,6,GESTION FINANCIERA
ADMINISTRACION DE EMPRESAS,7,HABILIDADES GERENCIALES
TECNOLOGIA EN GESTION FINANCIERA,2,INFORMATICA APLICADA
TECNOLOGIA EN GESTION FINANCIERA,1,INFORMATICA BASICA
TECNOLOGIA EN GESTION FINANCIERA,2,INGLES I
TECNOLOGIA EN GESTION FINANCIERA,3,INGLES II
TECNOLOGIA EN GESTION FINANCIERA,4,INGLES III
TECNOLOGIA EN GESTION FINANCIERA,5,INGLES IV
ADMINISTRACION DE EMPRESAS,8,INVESTIGACION DE OPERACIONES
TECNOLOGIA EN GESTION FINANCIERA,2,LABORATORIO CONTABLE
ADMINISTRACION DE EMPRESAS,10,LABORATORIO EMPRESARIAL
TECNOLOGIA EN GESTION FINANCIERA,6,LABORATORIO FINANCIERO
TECNOLOGIA EN GESTION FINANCIERA,3,LEGISLACION COMERCIAL
TECNOLOGIA EN GESTION FINANCIERA,2,LEGISLACION LABORAL
TECNOLOGIA EN GESTION FINANCIERA,6,LEGISLACION TRIBUTARIA
TECNOLOGIA EN GESTION FINANCIERA,3,MACROECONOMIA
TECNOLOGIA EN GESTION FINANCIERA,1,MATEMATICA BASICA
TECNOLOGIA EN GESTION FINANCIERA,3,MATEMATICA FINANCIERA
TECNOLOGIA EN GESTION FINANCIERA,5,MERCADEO
TECNOLOGIA EN GESTION FINANCIERA,4,METODOLOGIA DE LA INVESTIGACION
TECNOLOGIA EN GESTION FINANCIERA,2,MICROECONOMIA
ADMINISTRACION DE EMPRESAS,7,NEGOCIOS INTERNACIONALES
TECNOLOGIA EN GESTION FINANCIERA,1,PENSAMIENTO ADMINISTRATIVO
TECNOLOGIA EN GESTION FINANCIERA,6,PLAN DE NEGOCIOS
TECNOLOGIA EN GESTION FINANCIERA,4,PRESUPUESTOS
TECNOLOGIA EN GESTION FINANCIERA,2,PROCESO ADMINISTRATIVO
TECNOLOGIA EN GESTION FINANCIERA,1,TECNICAS DE COMUNICACION
ADMINISTRACION DE EMPRESAS,9,TRABAJO DE GRADO I
TECNOLOGIA EN GESTION FINANCIERA,5,TRABAJO DE GRADO I
ADMINISTRACION DE EMPRESAS,10,TRABAJO DE GRADO II
TECNOLOGIA EN GESTION FINANCIERA,6,TRABAJO DE GRADO II
DISENO VISUAL,4,GRAFICO DE PRODUCTO E INFOGRAFIA
DISENO VISUAL,1,HERRAMIENTAS DIGITALES 1
DISENO VISUAL,2,HERRAMIENTAS DIGITALES 2
DISENO VISUAL,5,HERRAMIENTAS DIGITALES 3
DISENO VISUAL,3,HISTORIA DE LA COMUNICACION VISUAL EN LATINOAMERICA
DISENO VISUAL,2,HISTORIA DEL DISENO 1
DISENO VISUAL,3,HISTORIA DEL DISENO 2
DISENO VISUAL,5,ILUSTRACION DIGITAL Y MULTIMEDIA
DISENO VISUAL,5,IMAGEN EN MOVIMIENTO
DISENO VISUAL,2,INGLES I
DISENO VISUAL,3,INGLES II
DISENO VISUAL,4,INGLES III
DISENO VISUAL,5,INGLES IV
DISENO VISUAL,4,INTERMEDIATE
DISENO VISUAL,1,INTRODUCCION A FORMA Y MOVIMIENTO
DISENO VISUAL,1,INTRODUCCION AL DISENO
DISENO VISUAL,8,INVESTIGACION APLICADA EN DISENO
DISENO VISUAL,5,METODOLOGIA DE LA INVESTIGACION 1
DISENO VISUAL,6,METODOLOGIA DE LA INVESTIGACION 2
DISENO VISUAL,4,METODOS DE DISENO
DISENO VISUAL,5,MODELADO 3D
DISENO VISUAL,2,MODELOS Y MAQUETAS
DISENO VISUAL,6,MULTIMEDIA
DISENO VISUAL,6,NARRATIVA AUDIOVISUAL
DISENO VISUAL,6,NUEVOS MEDIOS
DISENO VISUAL,8,NUEVOS MEDIOS AVANZADOS
DISENO VISUAL,7,PERSPECTIVAS DEL DISENO
DISENO VISUAL,5,PRE ADVANCED
DISENO VISUAL,3,PRE INTERMEDIATE
DISENO VISUAL,4,PROYECCION ESPACIAL
DISENO VISUAL,4,PROYECTO DE DISENO 1
DISENO VISUAL,5,PROYECTO DE DISENO 2
DISENO VISUAL,6,PROYECTO DE DISENO 3
DISENO VISUAL,7,PROYECTO DE DISENO 4
DISENO VISUAL,8,PROYECTO DE DISENO 5
DISENO VISUAL,7,PROYECTOS INTERDISCIPLINARIOS DE DISENO
DISENO VISUAL,8,SEMINARIO DE PROFUNDIZACION
DISENO VISUAL,8,SEMINARIO TRABAJO DE GRADO
DISENO VISUAL,3,SEMIOTICA
DISENO VISUAL,1,TALLER 1: BIDIMENSION
DISENO VISUAL,2,TALLER 2: TRIDIMENSION
DISENO VISUAL,3,TALLER 3: MOVIMIENTO
DISENO VISUAL,1,TALLER DE COLOR
DISENO VISUAL,9,TALLER DE CULMINACION
DISENO VISUAL,1,TECNICAS DE COMUNICACION
DISENO VISUAL,4,TECNICAS DE INVESTIGACION
DISENO VISUAL,2,TECNICAS DE REPRESENTACION GRAFICA
DISENO VISUAL,2,TEORIA DE LA IMAGEN
DISENO VISUAL,2,TEORIA DE LA PERCEPCION
DISENO VISUAL,1,TEORIA Y PERCEPCION DEL COLOR
DISENO VISUAL,3,TIPOGRAFIA
DISENO VISUAL,3,TIPOGRAFIA 1
DISENO VISUAL,4,TIPOGRAFIA 2
DISENO VISUAL,9,TRABAJO DE GRADO
DISENO VISUAL,6,USABILIDAD Y UX
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,INSTALACIONES HIDROSANITARIAS Y DE GAS
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,MATEMATICAS Y GEOMETRIA 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,METODOLOGIA DE LA INVESTIGACION 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,PERSPECTIVA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,PERSPECTIVA II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,PERSPECTIVA III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,RENDERIZADO
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,SEMINARIO 1
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,SEMINARIO ANIMACION Y VIDEO
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,SEMINARIO ARCHICAD
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,SEMINARIO FOTOGRAFIA
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,SEMINARIO MAQUETAS
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,SEMINARIO METODOLOGIA DE LA INVESTIGACION
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,SEMINARIO SKETCH UP
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,SEMINARIO TRABAJO DE GRADO
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,SEMINARIO TRES DIMENSIONES 3D
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,SIG 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,SISTEMAS CAD I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,SISTEMAS CAD II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,SISTEMAS CAD III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,SISTEMAS CAD IV
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,SISTEMAS CONSTRUCTIVOS DE BAJA COMPLEJIDAD
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,SISTEMAS CONSTRUCTIVOS TRADICIONALES
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,TALLER DE ARQUITECTURA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,2,TALLER DE ARQUITECTURA II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,TALLER DE ARQUITECTURA III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,TALLER DE ARQUITECTURA IV
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,TALLER DE ARQUITECTURA V
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,TALLER DE INGENIERIA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,TALLER DE INGENIERIA II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,5,TALLER DE INGENIERIA III
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,TECNICAS DE COMUNICACION 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,1,TECNICAS PARA LA EXPRESION MANUAL
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,TOPOGRAFIA 
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,3,TOPOGRAFIA I
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,4,TOPOGRAFIA II
TECNOLOGIA EN DELINEANTES DE ARQUITECTURA E INGENIERIA,6,TRABAJO DE GRADO 
