MUNICIPIOS,RURAL,,,,,,,,,,,,,,,,,,,,,,,
BELEN DE BAJIRA,0,,,,,,,,,,,,,,,,,,,,,,,
BELEN DE LOS ANDAQUIES,1,,,,,,,,,,,,,,,,,,,,,,,
BELEN DE UMBRIA,0,,,,,,,,,,,,,,,,,,,,,,,
BELLO,0,,,,,,,,,,,,,,,,,,,,,,,
BELMIRA,1,,,,,,,,,,,,,,,,,,,,,,,
BELTRAN,1,,,,,,,,,,,,,,,,,,,,,,,
BERBEO,1,,,,,,,,,,,,,,,,,,,,,,,
BETANIA,0,,,,,,,,,,,,,,,,,,,,,,,
BETEITIVA,1,,,,,,,,,,,,,,,,,,,,,,,
BETULIA,1,,,,,,,,,,,,,,,,,,,,,,,
BETULIA,1,,,,,,,,,,,,,,,,,,,,,,,
BITUIMA,1,,,,,,,,,,,,,,,,,,,,,,,
BOAVITA,1,,,,,,,,,,,,,,,,,,,,,,,
BOCHALEMA,1,,,,,,,,,,,,,,,,,,,,,,,
BOGOTA D.C.,0,,,,,,,,,,,,,,,,,,,,,,,
BOJACA,0,,,,,,,,,,,,,,,,,,,,,,,
BOJAYA,1,,,,,,,,,,,,,,,,,,,,,,,
BOLIVAR,1,,,,,,,,,,,,,,,,,,,,,,,
BOLIVAR,1,,,,,,,,,,,,,,,,,,,,,,,
BOLIVAR,1,,,,,,,,,,,,,,,,,,,,,,,
BOSCONIA,0,,,,,,,,,,,,,,,,,,,,,,,
BOYACA,1,,,,,,,,,,,,,,,,,,,,,,,
BRICENO,1,,,,,,,,,,,,,,,,,,,,,,,
BRICENO,1,,,,,,,,,,,,,,,,,,,,,,,
BUCARAMANGA,0,,,,,,,,,,,,,,,,,,,,,,,
BUCARASICA,1,,,,,,,,,,,,,,,,,,,,,,,
BUENAVENTURA,0,,,,,,,,,,,,,,,,,,,,,,,
BUENAVISTA,1,,,,,,,,,,,,,,,,,,,,,,,
BUENAVISTA,1,,,,,,,,,,,,,,,,,,,,,,,
BUENAVISTA,1,,,,,,,,,,,,,,,,,,,,,,,
BUENAVISTA,1,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,1,,,,,,,,,,,,,,,,,,,,,,,
BUESACO,1,,,,,,,,,,,,,,,,,,,,,,,
BUGA,0,,,,,,,,,,,,,,,,,,,,,,,
BUGALAGRANDE,1,,,,,,,,,,,,,,,,,,,,,,,
BURITICA,1,,,,,,,,,,,,,,,,,,,,,,,
BUSBANZA,1,,,,,,,,,,,,,,,,,,,,,,,
CABRERA,1,,,,,,,,,,,,,,,,,,,,,,,
CABRERA,1,,,,,,,,,,,,,,,,,,,,,,,
CABUYARO,1,,,,,,,,,,,,,,,,,,,,,,,
CACAHUAL,1,,,,,,,,,,,,,,,,,,,,,,,
CACERES,1,,,,,,,,,,,,,,,,,,,,,,,
CACHIPAY,0,,,,,,,,,,,,,,,,,,,,,,,
CACHIRA,1,,,,,,,,,,,,,,,,,,,,,,,
CACOTA,1,,,,,,,,,,,,,,,,,,,,,,,
CAICEDO,1,,,,,,,,,,,,,,,,,,,,,,,
CAICEDONIA,0,,,,,,,,,,,,,,,,,,,,,,,
CAIMITO,1,,,,,,,,,,,,,,,,,,,,,,,
CAJAMARCA,1,,,,,,,,,,,,,,,,,,,,,,,
CAJIBIO,1,,,,,,,,,,,,,,,,,,,,,,,
CAJICA,0,,,,,,,,,,,,,,,,,,,,,,,
CALAMAR,1,,,,,,,,,,,,,,,,,,,,,,,
CALAMAR,1,,,,,,,,,,,,,,,,,,,,,,,
CALARCA,0,,,,,,,,,,,,,,,,,,,,,,,
CALDAS,1,,,,,,,,,,,,,,,,,,,,,,,
CALDAS,1,,,,,,,,,,,,,,,,,,,,,,,
CALDONO,1,,,,,,,,,,,,,,,,,,,,,,,
CALI,0,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA,1,,,,,,,,,,,,,,,,,,,,,,,
CALIMA,1,,,,,,,,,,,,,,,,,,,,,,,
CALOTO,1,,,,,,,,,,,,,,,,,,,,,,,
CAMPAMENTO,1,,,,,,,,,,,,,,,,,,,,,,,
CAMPO DE LA CRUZ,0,,,,,,,,,,,,,,,,,,,,,,,
CAMPOALEGRE,0,,,,,,,,,,,,,,,,,,,,,,,
CAMPOHERMOSO,1,,,,,,,,,,,,,,,,,,,,,,,
CANALETE,1,,,,,,,,,,,,,,,,,,,,,,,
CANASGORDAS,1,,,,,,,,,,,,,,,,,,,,,,,
CANDELARIA,0,,,,,,,,,,,,,,,,,,,,,,,
